Date,Close/Last,Volume,Open,High,Low
11/02/2018,55.17,164321,55.51,56.2761,54.67
11/01/2018,55.26,225755,53.61,55.3699,53.25
10/31/2018,53.42,281321,52.29,53.8899,52.29
10/30/2018,51.09,126598,49.31,51.2151,49.115
10/29/2018,49.81,129392,51.88,52.065,48.78
10/26/2018,50.34,232119,49.97,51.51,49.31
10/25/2018,51.63,119331,50.20,51.7799,50.20
10/24/2018,49.17,135925,52.01,52.15,49.15
10/23/2018,52.01,283825,50.51,52.25,50.22
10/22/2018,51.70,111160,51.47,51.90,50.8902
10/19/2018,51.00,71512,52.34,52.88,50.922
10/18/2018,51.94,81070,53.15,53.175,51.71
10/17/2018,53.36,76188,54.41,54.41,52.78
10/16/2018,53.87,110433,52.30,53.98,52.2909
10/15/2018,51.60,114780,51.88,52.13,51.05
10/12/2018,52.07,149324,52.11,52.50,51.01
10/11/2018,50.27,272954,50.33,51.4063,49.67
10/10/2018,50.88,432509,53.71,53.71,50.83
